"Story","Title","Result","Date","Stability","Duration (s)"
"Llamar las peticiones get,post,put y delete","Petición GET","SUCCESS","2023-01-28T12:29:14.789438-05:00[America/Bogota]","0.0","6.12"
"Llamar las peticiones get,post,put y delete","Petición POS","SUCCESS","2023-01-28T12:29:20.947286-05:00[America/Bogota]","0.0","1.12"
